speaker,label,vowel,NC,voicing,nas_prop
S14,z__E_nd_@___N_B08/s,e,nd,voiced,0.38348707064930737
S14,z__E_nt_a___N_B11/s,e,nt,voiceless,0.3340552471809928
S14,z__O_nt_@___N_B19/s,o,nt,voiceless,0.1673453599254913
S14,z__a_nd_@___N_B10/s,a,nd,voiced,0.21070120938837236
S14,z__a_nt_@___N_B08/s,a,nt,voiceless,0.36557138949458945
S15,b__U_nd_@___N_B11/s,u,nd,voiced,0.4629185025217628
S15,b__U_nt_@___N_B12/s,u,nt,voiceless,0.16987399313467627
S15,b__a_nd_@___N_B14/s,a,nd,voiced,0.24567398050524195
S15,b__a_nt_@___N_B13/s,a,nt,voiceless,0.5883738952450087
S15,f__I_nt_@___N_B11/s,i,nt,voiceless,0.14600149046619706
S15,p__E_nt_____N_B11/s,e,nt,voiceless,0.3413368493031653
S15,p__a_nd_a___N_B12/s,a,nd,voiced,0.23936398746803966
S15,p__a_nt_6___N_B23/s,a,nt,voiceless,0.2899790923328854
S15,v__I_nt_6___N_B13/s,i,nt,voiceless,0.010314556435738262
S15,v__a_nt_@___N_B26/s,a,nt,voiceless,0.21485756679429927
S15,z__E_nt_a___N_B24/s,e,nt,voiceless,0.24350441284730967
S15,z__O_nd_@___N_B10/s,o,nd,voiced,0.6925304346329071
S15,z__O_nt_@___N_B26/s,o,nt,voiceless,0.40206110775731424
S15,z__a_nd_@___N_B23/s,a,nd,voiced,0.5762970744416045
S15,z__a_nt_@___N_B21/s,a,nt,voiceless,0.6361535837252447
S16,b__U_nd_@___N_B07/s,u,nd,voiced,0.004868701890766953
S16,b__U_nt_@___N_B24/s,u,nt,voiceless,0.510146393069938
S16,b__a_nd_@___N_B23/s,a,nd,voiced,0.6792910560230024
S16,b__a_nt_@___N_B08/s,a,nt,voiceless,0.7068411450682938
S16,f__I_nd_@___N_B10/s,i,nd,voiced,0.14202462228446958
S16,f__I_nt_@___N_B07/s,i,nt,voiceless,0.36123783751489097
S16,l__I_nd_@___N_B09/s,i,nd,voiced,0.09155552743240698
S16,p__E_nt_____N_B07/s,e,nt,voiceless,0.28010026887866246
S16,p__a_nd_a___N_B24/s,a,nd,voiced,0.46586483886453056
S16,p__a_nt_6___N_B10/s,a,nt,voiceless,0.40970525522843876
S16,r__E_nt_@___N_B11/s,e,nt,voiceless,0.4483369373594005
S16,r__a_nt_@___N_B10/s,a,nt,voiceless,0.495947495854556
S16,v__I_nd_@___N_B19/s,i,nd,voiced,0.24335002168424072
S16,v__I_nt_6___N_B08/s,i,nt,voiceless,0.6046401140599834
S16,v__a_nt_@___N_B22/s,a,nt,voiceless,0.501171106480971
S16,z__E_nd_@___N_B09/s,e,nd,voiced,0.12789233425932894
S16,z__E_nt_a___N_B19/s,e,nt,voiceless,0.4924264145780872
S16,z__O_nd_@___N_B21/s,o,nd,voiced,0.24973230660715423
S16,z__O_nt_@___N_B22/s,o,nt,voiceless,0.5600738553520908
S16,z__a_nd_@___N_B10/s,a,nd,voiced,0.5898069187990292
S16,z__a_nt_@___N_B09/s,a,nt,voiceless,0.8121485976566962
S17,?__E_nd_@___N_B13/s,e,nd,voiced,0.1688932319304542
S17,?__E_nt_@___N_B21/s,e,nt,voiceless,0.5808797687280541
S17,b__U_nd_@___N_B22/s,u,nd,voiced,0.3486864417614684
S17,b__U_nt_@___N_B24/s,u,nt,voiceless,0.3038645847206368
